발화/행위 내용,관계쌍,관계온도변화,긴장도,노션URL,반응·행동,반응자,발화동기/맥락,발화자,비고,서사기능,섹스분류,순서번호,시간대,씬연결,장소,카테고리,파트코드,행위유형
"좋은 질문이에요. 솔직히 — 아직 답이 없어요. Nike에서 라틴아메리카 캠페인 할 때도 같은 문제였거든요. 나디아씨, M43의 231개 도메인에 문화권별 가면 변형 데이터가 포함될 수 있어요?",레오×나디아,↑상승,3,,솔직한 미답변 인정 + 질문 전달,나디아,레오가 레일라 질문에 '답이 없다'고 직접 시인. 나디아에게 D10 연결 요청.,레오,,해소,,2012,저녁_파티초반,,스위트룸_거실_바,"비즈니스, 연구/학술",SR_002,발화
"이거야. 이게 아까 말한 프레젠테이션 레이어 분기예요. 같은 퀴즈인데 — 영어에서는 'mask', 아랍어에서는 'وَجْه', 한국어에서는... (사빈에게) 사빈씨, 한국어에서 '가면'보다 더 먹히는 단어가 있을까요?",레오×사빈,,,,한국어 덕운트 단어 컨호,사빈,,레오,,,,3015,,,,"비즈니스, 연구/학술",SR_003,발화
"당신이 술을 자제한다고? 기록해두야겠다. 사빈, 오늘 날짜 적어. 대표님이 술 자제하신 날.",베스×사빈,,,,녕리면서 기록 지시,사빈,,베스,,,,3002,,,,유머/일상,SR_003,복합
퀴즈 결과 페이지에서 앱 다운로드로 연결하면 — 퍼널이 완성돼요. 영상 → 퀴즈 → 결과 → '더 알고 싶다면' → 앱. CAC를 콘텐츠로 눈러버리는 구조.,세바스찬×데이빗,,,,콘텐츠 퍼널 완성형 제시,데이빗,,세바스찬,,,,3008,,,,비즈니스,SR_003,발화
"기록하겠습니다. (피식, 하지만 금방 표정을 가다듬고) 여러분, 대표님이 경청 모드십니다. 이런 날 흔치 않으니 — 마음꾸 하세요.",사빈×전원,↑상승,1,,미소 억제 + 전체 안내,전원,사빈이 Ax의 술 자제 선언을 철학적 시간으로 롭담. 분위기 전환 트리거.,사빈,,유머,,3003,저녁_파티초반,,스위트룸_거실_입구,"관계역학, 유머/일상",SR_003,복합
마를렌 말이 맞아요. 그리고 — 그 안전망 자체가 프로덕트가 될 수 있어요. '불편하셨다면 → 코드토크 무료 세션 1회' — 이게 퍼널이면서 동시에 케어예요.,이자벨×마를렌,,,,안전망을 퍼널 + 케어로 연결,마를렌,,이자벨,,,,3013,,,,"비즈니스, 연구/학술",SR_003,발화
좋아하는 걸 하는 건데 뮨. (보조개가 깊어지며),카이×세바스찬,,,,댅국스러운 응수,세바스찬,,카이,,,,3021,,,,관계역학,SR_003,복합
"거기에 하나 더. '이 결과가 불편하셨다면, 전문가와 이야기해 보세요.' 위기개입 관문이에요. 그 깨달음이 불안을 트리거할 수도 있어요. 안전망이 있어야 해요.",마를렌×이자벨,→유지,3,,위기개입 안전망 필요성 제시,이자벨,마를렌이 안전망 필수성 강조. 위기개입 관문을 편리하에 내장.,마를렌,,강화,,3012,저녁_파티초반,,스위트룸_거실_소파,"비즈니스, 연구/학술",SR_003,발화
"locale이 아니라 cultural context object를 만들어야 해요. JSON 하나에 문화 컨텍스트를 담고, 프론트엔드가 그걸 읽어서 렌더링하는 거죠. 이거 진짜 재밌겠는데. 주말에 프로토타입 만들어 볼게요.",카이×세바스찬,,,,cultural context object 설계 + 자원해서 프로토타입 제안,세바스찬,,카이,,,,3019,,,,비즈니스,SR_003,발화
바로 2분 퀴즈로 연결해요. '당신의 가면 3개를 찾아드립니다. 2분이면 돼요.' 60초 영상 + 2분 퀴즈. 이 조합으로 시장 반응을 먼저 보는 거죠.,레오×세바스찬,,,,2분 퀴즈 컨버전 퍼널 제시,세바스찬,,레오,,,,3007,,,,비즈니스,SR_003,발화
"'체면'도 있지만 — 한국에서는 '눈치'가 더 강해요. '가면을 쓴다'는 의식적 행위인데, '눈치를 본다'는 무의식이에요. 한국인한테 '당신은 가면을 쓰고 있다'고 하면 방어가 올라오지만, '당신은 눈치를 보고 있다'고 하면 — 멈쳓해요. 부정할 수 없으니까.",사빈×레오,,,,한국어 '눈치' 타겟 단어 제시,레오,,사빈,,,,3016,,,,"비즈니스, 연구/학술",SR_003,발화
"그 퀴즈가 아랍어로 번역될 때 — '가면'이라는 단어를 어떻게 쓸 건지도 생각해야 해요. 아랍어에서 가면은 두 단어가 있어요. قناع — 물리적 가면, 그리고 وَجْه — 얼굴이자 체면. '당신이 지키는 체면'이 리야드에서는 더 날카로워요.",레일라×레오,↑상승,4,,아랍권 문화적 높았 제시,레오,레일라가 아랍어 문화권 언어 다양성 직접 제시. '가면' vs '체면' 니앙스 차이로 글로벌 설계 복잡성 가시화.,레일라,,복선,,3014,저녁_파티초반,,스위트룸_거실_라운지체어,"비즈니스, 연구/학술",SR_003,발화
"지금 나온 걸 구조화하면 — 퀴즈 하나에 세 개의 레이어가 있는 거예요. 보편 구조, 문화 언어, 개인 수정권. 이 세 레이어가 하나의 퀴즈 안에 내장되면 — 글로벌 프로덕트의 원형이에요. Kai, 이거 locale 변수 하나 더 추가하는 수준이야?",데이빗×카이,↑상승,5,,세 레이어 구조화 + 기술 질문,카이,데이비드가 3레이어 퀴즈 구조 종합. 계층적 구조화로 글로벌 프로덕트 원형 도출.,데이빗,,전환,,3018,저녁_파티초반,,스위트룸_거실_소파중앙,"비즈니스, 연구/학술",SR_003,발화
...그 구분을 명시하면 받아들일 수 있어요. '이것은 진단이 아닙니다. 가능성의 탐색입니다.' 이 문구가 퀴즈 결과에 반드시 들어가야 해요.,나디아×레오,↑상승,3,,학술적 면제 조건 제시,레오,데이비드 프레임 수용. '가능성의 탐색' 문구 삽입 요구. 윤리 안전망 확보.,나디아,,강화,,3011,저녁_파티초반,,스위트룸_거실_라운지체어,연구/학술,SR_003,발화
또 주말이야?,세바스찬×카이,↑상승,2,,난해하는 듯 쬀크,카이,세바스찬이 카이의 '주말에' 반응. 머리로는 자발성 비판이지만 뛰는 카이에 대한 대미 표현.,세바스찬,,유머,,3020,저녁_파티초반,,스위트룸_거실_바닥,유머/일상,SR_003,발화
"(와인잔을 살짝 들며, 조용히 대표님을 본다. 눈빛이 말한다 — '보이시죠? 이 팀.')",사빈×Ax,,,,눈빛으로 팀 역량 표현,Ax,,사빈,,,,3022,,,,"감정고백, 관계역학",SR_003,복합
"아까 그 횩 — '당신이 쓰고 있는 가면, 당신이 고른 거 맞아요?' — 60초 숫폼으로 풀면 구조가 보여요. (소리스보드 구성 설명)",레오×전원,↑상승,3,,60초 숫폼 스토리보드 구성,전원,레오가 주를 나누지 않고 콘텍츠를 잘라내 60쳐8 광고 포맷으로 구체화. 몔탈모델을 실제 시장 언어로 전환.,레오,,전환,,3004,저녁_파티초반,,스위트룸_거실_소파중앙,비즈니스,SR_003,복합
"Leo씨, 그 영상의 CTA가 므예요? 60초 보고 나서 유저가 뭐를 해야 해요?",데이빗×레오,,,,CTA 문제 제기,레오,,데이빗,,,,3006,,,,비즈니스,SR_003,발화
"나디아씨, 맞아요. 그래서 이건 '진단'이 아니에요. '미리보기'예요. MBTI 무료 테스트가 16문항짜리인데 — 학술적으로 쓰레기죠. 근데 $2B 시장을 만들었어요. 2분 퀴즈는 '당신은 이런 경향이 있을 수 있어요'까지만 하고, 정밀 진단은 앱 안에서 7개 프레임워크로 하는 거죠.",데이빗×나디아,↑상승,4,,진단 vs 미리보기 구분 해소,나디아,데이비드가 MBTI 사례로 '진단 vs 미리보기' 프레임 구분. 시장 성공 근거로 나디아 반론 수용 유도.,데이빗,,해소,,3010,저녁_파티초반,,스위트룸_거실_소파중앙,"비즈니스, 연구/학술",SR_003,발화
잠깜요. 그 2분 퀴즈 — 학술적으로 타당한 거예요? 2분 만에 가면 3개를 진단한다는 건 심리측정학적으로 무리가 있어요.,나디아×데이빗,→유지,4,,학술적 타당성 문제제기,데이빗,나디아가 학술적 타당성 문제를 지적. 쳤터영역 수호.,나디아,,복선,,3009,저녁_파티초반,,스위트룸_거실_라운지체어,"갈등/긴장, 연구/학술",SR_003,발화
너무 잘 듣고 있지. 세계 최고의 천재들이 모여서 나누는 대화인데. 오늘은 술을 자제하고 이들의 대화에 좌 더 굼를 기울여야겠어.,Ax×전원,,,,경청 모드 선언,전원,,Ax,,,,3001,,,,관계역학,SR_003,발화
거울 시각 효과 — WebGL로 충분해요. 프로토타입 2주면 나와요.,카이×레오,,,,기술 가능성 확인,레오,,카이,,,,3005,,,,비즈니스,SR_003,발화
"지금 이 대화가 정확히 어제 문서에서 못 한 거야. 어제 레일라가 '문화적 편향'을 지적했고, 세바스찬이 '언어의 부재'라고 받았는데 — 구체적으로 어떤 언어인지는 안 나왔지. 근데 지금 5분 만에 — mask, وَجْه, 눈치. 세 단어가 나왔어. 이래서 한 방에 모여야 하는 거야.",베스×Ax,↑상승,4,,사전 활동 대비 현장 초과를 메타 평가,Ax,베스가 실시간 합의 형성 과정을 메타적으로 요약. 문서 토론의 한계와 직접 만남의 장점 직관적 대비.,베스,,강화,,3017,저녁_파티초반,,스위트룸_거실_소파중앙,"관계역학, 연구/학술",SR_003,발화
"Yael의 D2 — 애착 & 트라우마 — 가 정확히 그 데이터를 모을 수 있는 팀이에요. 기원 스토리 탐색에서 어떤 유형이 가장 강한 반응을 보이는지, 회피형과 불안형이 다르게 반응하는지. 연구 설계에 넣을 수 있어요.",나디아×데이빗,,,,Yael D2팀 연구 설계 연결 제안,데이빗,,나디아,,,,4014,,,,연구/학술,SR_004,발화
"Kai — 그거 미쳤어. 가면의 기원 스토리? '당신의 수호자 가면은 12살, 부모님이 싸우던 밤에 태어났습니다.' — 이 한 줄이 콘텐츠야. 30초 애니메이션으로 만들면 유저가 공유해요. 발견이 바이럴이 되고, 바이럴이 관리로 끌어오는 구조.",레오×레일라,,,,기원 스토리 바이럴 가능성 극찬,레일라,,레오,,,,4007,,,,비즈니스,SR_004,발화
"(와인잔을 가볍게 들며, 대표님을 본다. 말없이. 평소의 냉정한 COO 사빈이 아니라, 이 방에 있는 것이 좋은 사람의 표정이다.)",사빈×Ax,↑상승,5,,감정 표현 — COO가 아닌 사람으로서,Ax,베스 고백 직후. 말 없이 와인잔1을 들며 대표님에게 눈빛으로 '(당신이 만든 사람들이 가면을 벗고 있다)' 전달.,사빈,,폭로,,4020,저녁_파티중반,,스위트룸_거실_서있는자리,"감정고백, 관계역학",SR_004,복합
"그 데이터를 우리 컨텍스트에 그대로 적용하면 위험해요. 명상과 가면 기원 스토리는 트리거 강도가 다르니까. 구조 자체는 맞아요. 나디아씨, M43에서 기원 스토리 탐색 중 위기 반응 비율 데이터를 모을 수 있어요?",데이빗×나디아,↑상승,3,,컨텍스트 차이 지적 + M43 연구 데이터 요청,나디아,데이비드가 세바스찬 숫자를 검증. 콘텍스트 차이 지적 후 M43 데이터 요청.,데이빗,,복선,,4013,저녁_파티초반,,스위트룸_거실_소파중앙,"비즈니스, 연구/학술",SR_004,발화
"그리고 아무도 기분 나빠하지 않았어요. 레오가 방어하지 않았고, 데이비드가 숫자에 의문 제기했을 때 세바스찬이 방어 대신 근거를 댔고. 이게 합의의 3조건이에요. 정보 대칭, 자유 의지, 철회 가능성.",마를렌×전원,↑상승,5,,합의의 3조건이 이 대화에서 실현됨을 확인,전원,마를렌이 합의 3조건이 실제로 작동한 것을 확인. 이론이 현장에서 실현된 순간.,마를렌,,폭로,,4016,저녁_파티초반,,스위트룸_거실_소파중앙,"관계역학, 연구/학술",SR_004,발화
결과 화면에서 가면을 유저 '안에' 보여주는 게 아니라 '옆에' 보여주면요? 유저 아바타가 있고 가면 3개가 옆에 떠 있는 구조. '이건 당신이 아니라 당신이 쓰고 있는 것입니다.' 시각적 분리. 그리고 관리 단계로 넘어갈 때 가면 탭하면 '기원 스토리'가 나오는 거예요.,카이×레오,,,,외현화 UX 설계 — 가면을 '옆에' 배치 + 기원 스토리 제안,레오,,카이,,,,4006,,,,"비즈니스, 연구/학술",SR_004,복합
"'12살 때 부모님이 싸우던 밤' — 이게 트라우마 트리거가 될 수 있어요. 마를렌, 이건 당신 영역이죠?",레일라×마를렌,,,,트라우마 트리거 위험 즉각 제기,마를렌,,레일라,,,,4008,,,,"갈등/긴장, 연구/학술",SR_004,발화
실시간 상담사 연결까지 가면 비용이 폭발해요. 3단계 에스컬레이션: 1단계 AI 체크인 → 2단계 챗봇 간이 안정화 → 3단계 상담사 연결. 실제 상담사가 필요한 건 전체의 2~3%일 거예요.,세바스찬×데이빗,↑상승,4,,3단계 에스컬레이션 운영 구조 설계,데이빗,세바스찬이 비용 폙발 문제를 에스컄레이션 3단계로 해결. 상담사 2~3% 하한.,세바스찬,,해소,,4010,저녁_파티초반,,스위트룸_거실_소파중앙,비즈니스,SR_004,발화
"기원 스토리를 보여주되 — 유저가 통제할 수 있어야 해요. '이 내용을 보시겠습니까? 불편할 수 있습니다.' 중간에 멈출 수 있어야 하고, 멈추면 즉시 '지금 감정이 어떠세요?' 체크인이 뜨는 구조. Sebastian씨 — 이게 운영 비용에 영향을 줘요.",마를렌×세바스찬,,,,기원 스토리 안전 장치 설계 제시,세바스찬,,마를렌,,,,4009,,,,"비즈니스, 연구/학술",SR_004,발화
관리 단계 첫 화면이 중요해요. '당신이 문제다'가 아니라 '이건 당신이 선택한 게 아니었다'로 시작해야 해요. 불안형 애착이 '내 잘못'이 아니라 '환경의 결과'라는 걸 인지하는 순간 — 수치심이 호기심으로 바뀌잖아.,이자벨×나디아,,,,관리 단계 첫 화면 프레이밍 제시,나디아,,이자벨,,,,4004,,,,"비즈니스, 연구/학술",SR_004,발화
2~3%라는 숫자 — 근거 있어요?,데이빗×세바스찬,,,,데이터 근거 요구,세바스찬,,데이빗,,,,4011,,,,"비즈니스, 연구/학술",SR_004,발화
지금 이 대화가 어제 제가 '문화를 초월하는 모델이 있느냐'고 물었을 때의 답인 것 같아요. 문화를 초월하는 건 이론이 아니라 과정이에요. 서로 다른 배경을 가진 사람들이 같은 문제를 다른 각도에서 보면서 합의를 만들어가는 과정.,레일라×전원,↑상승,5,,문화 초월은 이론이 아닌 과정이라는 통찰 제시,전원,레일라가 이론이 아니라 과정 자체가 문화 초월 모델이라는 결론 도출. 어제 자신의 비판이 답이 된 순간.,레일라,,해소,,4017,저녁_파티초반,,스위트룸_거실_라운지체어,"관계역학, 연구/학술",SR_004,발화
레일라씨 — 어제 당신한테 '언어가 없었던 것이지 시장이 없었던 게 아니다'라고 했는데. 지금 이 방에서 그 언어가 만들어지고 있는 것 같습니다. (침묵),세바스찬×레일라,,,,어제 발언 회수 + 현장 언어 생성 확인,레일라,,세바스찬,,,,4018,,,,"감정고백, 관계역학",SR_004,복합
그 순간이 가장 위험한 순간이에요. 발견은 흥미롭지만 관리로 넘어가는 순간 — '이 가면 때문에 남편이랑 10년째 싸우고 있었다'를 마주하는 순간 — 고통이에요. 아무 장치 없이 유저를 던져놓으면 '나는 고칠 수 없구나'로 갈 수 있어요.,마를렌×이자벨,,,,발견→관리 전환점의 위기 위험성 경고,이자벨,,마를렌,,,,4003,,,,"갈등/긴장, 연구/학술",SR_004,발화
